t_ms,grf_L,copx_L,copy_L,grf_R,copx_R,copy_R,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23
146,641.459,0.5902,0.7068,0.263,0.4023,0.4898,8.694,15.762,6.335,9.208,5.408,15.137,4.976,6.973,19.170,15.928,10.442,3.102,12.459,21.854,11.280,37.460,48.075,28.637,10.030,53.143,88.718,95.701,72.568,40.401,0.016,0.000,0.016,0.010,0.014,0.000,0.000,0.033,0.047,0.000,0.037,0.000,0.006,0.000,0.022,0.001,0.029,0.000,0.000,0.010,0.000,0.011,0.002,0.010
160,643.082,0.5901,0.7071,0.170,0.3864,0.4653,9.354,14.853,5.869,9.498,5.765,14.380,5.089,6.297,19.257,16.492,9.899,3.622,12.772,21.813,12.464,37.741,48.462,29.152,10.057,52.525,88.743,95.446,72.817,40.716,0.000,0.018,0.000,0.000,0.029,0.050,0.000,0.002,0.000,0.002,0.022,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.017,0.000,0.002,0.010,0.012,0.000
174,648.721,0.5906,0.7054,0.321,0.3656,0.4504,9.130,15.464,5.417,9.467,6.090,14.958,5.621,7.417,19.518,16.258,10.768,3.706,12.967,22.158,12.196,38.307,48.607,29.134,10.448,53.209,88.846,95.624,72.684,40.726,0.025,0.042,0.034,0.007,0.006,0.040,0.017,0.001,0.009,0.024,0.016,0.000,0.000,0.008,0.001,0.022,0.000,0.006,0.012,0.000,0.000,0.024,0.000,0.027
188,642.959,0.5899,0.7053,0.231,0.3315,0.5055,10.181,15.928,5.369,8.959,6.183,14.988,5.764,6.247,19.870,15.897,10.087,4.040,11.860,20.660,12.117,37.402,48.882,28.851,10.761,53.187,88.210,95.243,72.690,39.583,0.028,0.000,0.004,0.025,0.005,0.000,0.000,0.021,0.000,0.015,0.029,0.000,0.002,0.000,0.022,0.025,0.030,0.009,0.000,0.000,0.000,0.016,0.000,0.000
201,644.146,0.5900,0.7055,0.191,0.4091,0.6243,9.936,15.561,5.405,9.428,5.955,15.132,5.267,6.685,19.117,16.344,10.917,3.712,11.599,21.622,11.869,37.996,48.108,29.412,10.840,52.868,88.403,94.668,72.981,40.319,0.000,0.000,0.000,0.014,0.000,0.007,0.000,0.025,0.000,0.010,0.000,0.000,0.032,0.000,0.000,0.015,0.021,0.000,0.002,0.018,0.000,0.021,0.000,0.028
215,645.578,0.5912,0.7047,0.159,0.3663,0.4258,9.555,16.009,5.060,10.197,6.218,15.352,5.237,7.159,19.798,15.232,10.318,2.908,12.470,21.951,12.710,37.668,48.800,29.499,10.110,52.101,87.917,95.959,72.861,40.489,0.019,0.026,0.006,0.026,0.000,0.003,0.000,0.004,0.000,0.000,0.000,0.028,0.002,0.000,0.020,0.000,0.000,0.006,0.000,0.010,0.006,0.000,0.000,0.003
229,644.571,0.5898,0.7057,0.248,0.4174,0.5077,9.677,15.853,6.079,8.951,4.742,14.827,5.688,6.983,19.755,16.567,10.275,4.090,12.489,21.683,11.788,37.193,48.457,29.626,9.435,53.234,88.834,94.834,72.682,40.826,0.005,0.000,0.026,0.009,0.022,0.000,0.045,0.000,0.000,0.000,0.009,0.000,0.000,0.033,0.008,0.015,0.000,0.030,0.017,0.005,0.016,0.000,0.007,0.000
243,525.913,0.5455,0.7564,0.242,0.3879,0.5391,2.515,3.743,3.098,2.899,1.734,10.093,4.707,4.134,9.385,10.730,6.869,2.378,5.920,11.059,17.573,37.918,33.169,14.294,4.581,91.214,108.889,77.421,42.574,19.015,0.023,0.000,0.022,0.000,0.021,0.008,0.000,0.000,0.000,0.023,0.011,0.034,0.000,0.000,0.000,0.000,0.000,0.026,0.018,0.025,0.000,0.002,0.000,0.029
256,524.837,0.5461,0.7567,0.210,0.3441,0.5317,2.361,4.437,2.843,2.525,2.198,9.661,3.620,3.426,10.242,10.328,7.339,2.189,6.537,11.078,17.831,38.326,32.718,14.082,4.138,91.423,108.881,77.067,42.499,19.088,0.013,0.007,0.011,0.002,0.004,0.007,0.022,0.000,0.000,0.006,0.020,0.019,0.000,0.025,0.016,0.013,0.000,0.000,0.007,0.014,0.025,0.000,0.000,0.000
271,522.798,0.5469,0.7583,0.282,0.4049,0.5066,2.010,3.968,2.779,2.227,2.981,9.269,3.277,3.316,10.031,10.492,6.908,1.889,6.132,11.032,17.508,37.919,32.832,14.462,4.980,91.229,108.661,77.910,42.004,18.984,0.000,0.016,0.000,0.029,0.022,0.017,0.030,0.007,0.034,0.000,0.000,0.000,0.018,0.000,0.041,0.000,0.011,0.000,0.000,0.000,0.000,0.029,0.028,0.000
285,522.678,0.5458,0.7561,185.570,0.3944,0.2439,2.263,4.546,2.919,2.327,3.195,10.082,3.183,3.949,10.099,10.672,6.535,1.816,6.264,10.862,17.786,37.498,33.333,13.694,3.811,90.697,108.602,77.958,43.042,17.544,66.202,33.422,9.257,33.845,6.678,5.223,2.731,4.352,5.289,5.269,2.508,1.069,3.589,5.150,0.720,0.039,0.000,0.000,0.227,0.000,0.000,0.000,0.000,0.000
298,522.247,0.5459,0.7578,190.160,0.3928,0.2539,1.509,4.404,3.482,2.500,1.766,10.374,3.423,3.528,10.088,10.484,6.593,1.766,6.251,10.666,17.871,37.639,32.721,14.329,4.859,90.460,108.441,77.842,42.880,18.372,66.370,32.735,9.444,33.731,7.239,5.749,3.853,4.214,5.323,5.658,2.613,1.595,3.192,4.751,0.681,0.115,0.000,0.258,0.446,0.000,0.959,0.000,0.374,0.859
312,520.930,0.5460,0.7579,190.669,0.3938,0.2530,1.888,4.047,2.417,2.439,3.151,9.650,3.849,2.962,9.652,10.465,7.114,2.102,5.338,11.029,17.889,37.898,33.517,14.470,4.457,89.891,109.112,77.236,42.216,18.141,66.444,32.743,10.403,34.381,6.999,5.408,3.540,3.625,5.154,5.392,2.977,0.584,3.626,5.514,0.870,0.552,0.000,0.229,0.803,0.000,0.075,0.000,0.169,1.183
326,524.311,0.5449,0.7581,188.597,0.3932,0.2532,1.777,3.625,3.123,1.799,3.331,10.080,4.028,2.701,9.196,11.066,7.750,1.758,5.843,11.491,18.236,37.662,33.394,14.643,3.597,90.762,109.509,77.636,42.873,18.431,66.069,31.763,9.626,33.564,7.235,5.332,4.392,3.956,5.224,5.150,3.260,0.733,2.900,5.352,0.675,0.733,0.329,0.889,0.707,0.074,0.000,0.000,0.000,0.633
340,523.274,0.5457,0.7563,296.268,0.4108,0.4161,2.501,4.488,3.533,2.129,2.430,9.488,3.833,3.461,9.376,10.531,7.201,1.757,6.555,11.368,18.170,37.496,33.041,14.027,4.368,90.599,108.364,77.578,42.882,18.099,36.922,19.561,9.154,20.548,10.266,20.147,8.035,10.099,29.603,21.715,12.519,5.381,18.627,32.186,2.600,4.258,4.645,3.079,4.117,4.185,7.226,7.210,3.392,0.791
354,0.178,0.5162,0.4286,299.812,0.4121,0.4191,0.009,0.000,0.008,0.031,0.000,0.027,0.021,0.001,0.000,0.010,0.031,0.000,0.007,0.000,0.000,0.019,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,36.611,19.282,8.984,21.220,10.990,19.666,8.556,10.406,29.287,21.262,12.739,5.050,18.593,33.536,3.096,4.362,4.462,3.025,4.126,4.103,8.596,7.157,3.474,1.231
368,0.228,0.6263,0.4504,301.226,0.4090,0.4236,0.015,0.008,0.000,0.030,0.000,0.000,0.000,0.027,0.028,0.011,0.022,0.056,0.000,0.001,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.025,36.868,19.062,9.015,20.163,10.336,20.161,8.367,9.837,29.212,21.854,13.379,4.713,18.926,32.022,3.598,4.196,5.516,4.586,4.091,4.273,8.493,8.362,3.196,0.999
382,0.186,0.5780,0.5050,299.641,0.4118,0.4217,0.004,0.030,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.025,0.014,0.014,0.010,0.000,0.011,0.013,0.000,0.016,0.011,0.000,0.017,0.000,0.000,0.000,36.244,19.224,8.617,20.435,11.195,19.610,8.245,10.843,29.929,21.563,12.360,4.072,19.254,32.424,3.750,4.313,4.695,3.861,3.614,4.126,8.560,8.024,3.774,0.908
395,0.302,0.6298,0.5740,297.195,0.4109,0.4208,0.000,0.000,0.001,0.000,0.008,0.041,0.038,0.023,0.005,0.000,0.000,0.019,0.008,0.000,0.000,0.000,0.045,0.000,0.071,0.012,0.011,0.012,0.008,0.000,36.743,19.062,8.236,20.319,10.827,19.463,7.773,10.604,29.307,21.947,12.531,4.433,18.671,32.281,3.461,4.557,5.197,3.265,4.315,4.641,7.855,7.110,3.965,0.635
409,0.207,0.6276,0.5364,300.056,0.4124,0.4218,0.013,0.026,0.000,0.000,0.009,0.000,0.007,0.027,0.000,0.012,0.000,0.000,0.014,0.000,0.000,0.000,0.015,0.000,0.031,0.004,0.042,0.000,0.006,0.000,37.204,19.724,8.357,20.197,11.171,19.486,8.063,10.070,29.013,20.942,13.576,4.258,19.014,32.610,2.836,4.814,5.107,3.976,4.252,4.475,8.538,7.544,3.480,1.349
423,0.092,0.5185,0.5069,640.674,0.3951,0.7067,0.000,0.014,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.002,0.000,0.022,0.003,0.002,0.000,0.008,0.006,0.000,0.000,16.078,8.950,5.157,8.582,6.118,14.800,5.737,6.208,18.710,15.582,9.902,2.826,13.277,22.340,12.081,36.547,49.073,29.909,10.860,57.371,93.395,95.013,67.012,35.145
437,0.188,0.5879,0.5569,644.607,0.3962,0.7042,0.007,0.000,0.014,0.013,0.000,0.001,0.024,0.001,0.012,0.012,0.000,0.000,0.000,0.000,0.010,0.000,0.033,0.009,0.021,0.014,0.000,0.002,0.001,0.014,16.788,9.715,5.135,9.814,6.340,14.723,4.818,6.703,19.594,16.208,10.358,3.669,13.032,21.475,11.253,36.058,48.815,30.397,11.348,56.968,93.137,94.813,67.767,35.681
451,0.249,0.5885,0.4728,641.641,0.3958,0.7064,0.000,0.021,0.015,0.036,0.000,0.026,0.016,0.015,0.018,0.000,0.000,0.012,0.005,0.008,0.006,0.013,0.005,0.018,0.000,0.000,0.029,0.000,0.008,0.000,17.151,8.782,4.398,9.341,6.739,14.230,5.102,6.235,19.808,15.260,9.648,3.684,12.267,21.886,11.450,36.128,48.638,30.544,10.611,58.241,94.354,95.298,66.670,35.175
465,0.235,0.5730,0.4469,641.975,0.3948,0.7054,0.000,0.027,0.022,0.016,0.000,0.010,0.037,0.010,0.000,0.000,0.038,0.000,0.011,0.000,0.001,0.000,0.039,0.003,0.012,0.001,0.004,0.000,0.002,0.000,16.605,9.399,5.687,8.478,6.615,14.506,5.137,6.804,19.120,15.589,10.212,4.197,12.283,21.465,11.789,36.353,48.170,30.192,10.869,58.439,93.810,94.577,66.585,35.095
486,0.211,0.5467,0.5208,644.250,0.3952,0.7054,0.023,0.000,0.000,0.000,0.026,0.000,0.009,0.013,0.000,0.027,0.016,0.000,0.000,0.014,0.018,0.020,0.000,0.010,0.000,0.000,0.026,0.000,0.007,0.000,15.747,9.097,5.355,9.524,7.049,14.140,6.431,5.997,19.543,16.417,9.579,4.349,12.303,20.996,11.606,37.231,48.476,30.196,11.398,57.663,93.605,94.768,67.263,35.518
500,0.247,0.6777,0.5758,647.201,0.3957,0.7044,0.006,0.035,0.000,0.000,0.000,0.000,0.008,0.000,0.021,0.000,0.008,0.000,0.002,0.049,0.000,0.000,0.027,0.000,0.006,0.024,0.021,0.000,0.003,0.036,16.184,9.189,4.512,9.465,6.901,14.474,5.805,6.794,19.136,17.010,10.154,4.369,13.193,22.411,11.231,36.952,49.319,31.040,10.839,57.974,93.468,94.186,67.119,35.475
513,0.233,0.5903,0.3634,643.532,0.3953,0.7066,0.018,0.000,0.034,0.029,0.035,0.000,0.024,0.039,0.000,0.016,0.000,0.006,0.000,0.006,0.006,0.000,0.006,0.000,0.013,0.000,0.000,0.000,0.000,0.001,15.802,8.763,5.306,9.125,6.431,14.195,5.626,6.187,19.329,16.450,9.544,4.215,12.794,21.697,11.661,36.159,48.713,31.636,10.287,58.315,93.321,94.852,67.776,35.348
528,0.189,0.5874,0.4840,522.067,0.3563,0.7552,0.008,0.006,0.057,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.016,0.002,0.000,0.000,0.003,0.005,0.000,0.029,0.000,0.001,0.033,0.000,0.000,3.770,3.209,2.854,3.078,3.411,10.135,2.949,3.066,9.912,10.644,6.291,1.908,6.216,11.171,16.432,37.635,34.527,15.157,4.104,88.138,112.732,80.363,39.139,15.227
541,0.178,0.5776,0.4227,520.480,0.3558,0.7573,0.002,0.000,0.000,0.034,0.013,0.010,0.000,0.032,0.019,0.017,0.000,0.024,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,3.675,1.939,2.278,2.608,3.708,10.404,3.296,2.939,9.366,10.693,6.579,2.273,6.481,10.568,16.834,37.315,34.127,15.153,4.615,87.423,113.283,80.201,39.078,15.647
557,186.819,0.5895,0.2522,522.624,0.3572,0.7563,38.822,59.714,7.796,33.881,7.431,5.208,3.887,2.883,4.852,5.802,3.912,1.145,2.978,5.028,0.802,0.346,0.711,0.000,0.668,0.000,0.000,0.056,0.102,0.793,3.056,3.203,2.098,3.274,3.459,9.930,3.605,3.318,9.707,11.251,6.432,1.820,6.756,10.798,16.146,36.153,33.855,16.104,4.210,88.554,112.868,80.353,39.780,15.892
569,188.014,0.5911,0.2495,521.489,0.3567,0.7586,38.198,60.219,8.706,34.298,7.336,5.085,4.172,4.019,5.005,5.327,4.046,0.912,3.262,5.171,0.599,0.006,0.422,0.603,0.629,0.000,0.000,0.000,0.000,0.000,3.830,2.886,2.154,1.977,3.133,10.196,3.047,1.778,9.279,10.967,5.988,2.949,6.732,11.088,16.455,37.217,33.851,14.907,4.908,87.975,112.805,81.568,39.804,15.996
583,185.546,0.5926,0.2467,523.688,0.3560,0.7552,38.802,59.534,8.152,34.646,7.864,5.003,4.125,3.643,5.126,4.817,3.081,0.363,2.740,5.402,0.294,0.233,0.000,0.203,0.844,0.333,0.156,0.018,0.080,0.088,4.693,2.799,2.219,2.746,2.884,9.574,4.100,2.902,9.914,10.603,7.038,3.104,6.347,11.110,16.613,37.505,33.514,14.846,4.468,88.485,112.873,80.782,39.383,15.186
598,186.686,0.5900,0.2516,524.499,0.3571,0.7548,38.932,60.030,8.167,33.525,7.143,5.397,4.289,3.160,5.093,5.145,3.353,0.402,3.173,5.430,0.172,0.744,0.000,0.863,0.030,0.587,0.392,0.157,0.502,0.000,4.559,3.199,2.839,2.430,3.606,9.210,3.114,3.903,9.936,10.402,6.607,2.500,6.307,10.627,17.483,37.342,33.864,15.274,4.335,87.616,112.315,81.439,39.509,16.084
611,298.623,0.6168,0.4204,524.978,0.3564,0.7553,21.116,35.430,9.069,20.496,10.428,19.318,8.164,10.684,29.049,21.621,13.386,4.628,18.310,32.069,3.020,5.251,4.931,2.951,3.491,4.070,8.417,8.003,3.789,0.932,4.341,2.464,2.999,2.279,3.629,9.109,3.859,3.757,9.371,11.104,6.924,2.595,6.722,10.972,16.530,37.421,34.231,15.207,3.942,88.091,112.745,81.059,39.326,16.301
625,298.339,0.6168,0.4200,0.143,0.4362,0.5692,21.039,34.322,9.746,20.279,10.221,20.078,8.233,10.093,29.456,22.156,12.945,4.947,18.384,32.431,2.894,5.234,5.014,2.925,3.939,3.417,8.033,7.657,3.898,0.998,0.000,0.022,0.000,0.000,0.000,0.000,0.016,0.030,0.000,0.008,0.000,0.000,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.035,0.000
638,298.889,0.6167,0.4205,0.221,0.4969,0.5333,22.148,34.514,9.651,20.308,9.493,19.333,8.499,10.958,29.408,20.797,13.726,4.927,17.573,32.390,3.834,4.637,4.553,3.166,3.842,3.899,7.646,7.898,4.379,1.311,0.000,0.008,0.011,0.000,0.027,0.002,0.004,0.000,0.000,0.000,0.013,0.017,0.023,0.049,0.000,0.015,0.000,0.005,0.000,0.000,0.000,0.008,0.000,0.037
653,299.156,0.6166,0.4230,0.212,0.4627,0.5105,21.861,34.669,8.844,20.140,8.916,19.526,8.423,11.002,29.297,21.878,13.531,4.251,17.899,32.426,3.364,5.456,4.914,2.976,4.179,3.921,7.632,8.413,3.696,1.942,0.000,0.004,0.008,0.018,0.038,0.017,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.031,0.000,0.008,0.030,0.000,0.000,0.000,0.000,0.032,0.008,0.003
667,296.009,0.6179,0.4210,0.142,0.4308,0.5531,21.211,35.361,9.261,19.880,9.273,18.980,7.894,10.260,29.767,21.007,13.115,4.570,17.351,33.261,3.273,5.639,4.791,2.748,3.224,4.347,7.186,8.249,4.450,0.912,0.000,0.000,0.011,0.022,0.000,0.000,0.025,0.003,0.000,0.000,0.000,0.008,0.001,0.000,0.011,0.000,0.000,0.004,0.026,0.000,0.000,0.000,0.016,0.015
682,303.890,0.6168,0.4243,0.159,0.3376,0.4575,21.814,34.842,8.914,20.968,9.520,20.338,8.189,11.300,29.919,21.694,13.467,4.470,17.678,32.498,3.521,4.945,4.897,3.094,4.721,4.452,8.441,8.230,4.251,1.728,0.000,0.004,0.028,0.010,0.016,0.016,0.014,0.000,0.000,0.022,0.000,0.001,0.014,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.006,0.002,0.003,0.015
695,643.883,0.5905,0.7063,0.188,0.3766,0.4820,9.872,15.508,5.409,9.045,5.767,14.904,5.632,6.885,19.575,16.170,9.967,3.263,12.115,21.697,12.270,37.749,47.523,29.090,10.729,52.686,88.902,95.371,72.665,41.088,0.000,0.009,0.030,0.000,0.000,0.030,0.000,0.000,0.036,0.000,0.029,0.007,0.005,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.011,0.014
709,644.900,0.5910,0.7050,0.215,0.3154,0.4884,9.065,16.159,5.323,9.200,5.496,14.810,5.962,7.177,20.035,16.230,11.263,3.441,12.436,21.863,12.152,37.012,48.222,29.691,10.556,52.794,87.903,95.005,72.819,40.288,0.031,0.000,0.000,0.000,0.000,0.037,0.016,0.018,0.013,0.000,0.000,0.000,0.030,0.000,0.036,0.008,0.000,0.000,0.000,0.018,0.001,0.000,0.008,0.000
723,647.027,0.5900,0.7054,0.328,0.3515,0.5282,9.861,15.933,5.371,9.671,5.510,14.632,5.237,6.800,19.437,16.501,10.377,4.483,12.446,21.650,13.045,37.624,47.899,29.742,10.165,52.997,88.724,94.902,72.952,41.070,0.022,0.007,0.000,0.000,0.005,0.061,0.042,0.014,0.003,0.000,0.000,0.003,0.000,0.029,0.040,0.000,0.037,0.000,0.017,0.011,0.003,0.021,0.005,0.007
737,643.737,0.5909,0.7060,0.183,0.3742,0.4848,9.569,16.211,5.026,8.497,5.958,14.924,5.760,7.106,19.484,15.787,9.997,3.910,12.171,21.232,12.407,37.520,48.761,29.410,10.641,52.455,88.589,94.905,72.261,41.158,0.000,0.000,0.000,0.000,0.040,0.024,0.007,0.020,0.000,0.000,0.012,0.018,0.000,0.000,0.012,0.036,0.000,0.004,0.005,0.000,0.000,0.000,0.000,0.005
749,645.602,0.5903,0.7054,0.199,0.3601,0.4917,9.464,15.922,6.407,9.540,5.489,15.104,5.912,6.387,20.398,15.475,10.340,2.601,12.342,21.275,12.871,37.157,48.648,28.896,10.685,52.741,87.988,96.360,73.190,40.413,0.000,0.032,0.000,0.000,0.020,0.035,0.017,0.000,0.003,0.003,0.013,0.001,0.000,0.005,0.005,0.000,0.025,0.000,0.000,0.026,0.000,0.013,0.000,0.002
770,639.881,0.5902,0.7069,0.200,0.4780,0.5256,9.651,15.640,4.630,9.226,5.760,14.124,5.917,6.608,19.646,15.665,10.431,3.575,11.786,21.170,12.565,37.954,47.756,28.554,10.297,53.249,87.673,94.775,72.766,40.463,0.002,0.031,0.000,0.000,0.024,0.001,0.000,0.022,0.000,0.000,0.014,0.000,0.000,0.021,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.020,0.029,0.000
784,644.663,0.5909,0.7062,0.133,0.3311,0.3857,9.351,15.368,5.096,9.810,5.672,14.987,5.368,6.369,19.828,16.039,10.327,3.307,12.589,22.332,12.471,37.790,48.167,29.395,10.344,52.724,88.076,95.589,72.579,41.086,0.000,0.000,0.034,0.041,0.000,0.011,0.000,0.007,0.000,0.016,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.009,0.000,0.003,0.000,0.000,0.000,0.005
799,523.349,0.5460,0.7561,0.202,0.3951,0.4480,2.285,4.368,3.076,2.416,2.561,9.360,3.712,3.395,10.080,10.865,7.265,2.189,6.287,10.491,17.506,38.259,33.267,15.168,4.312,90.077,108.731,77.369,42.471,17.838,0.005,0.023,0.006,0.044,0.000,0.021,0.004,0.003,0.020,0.000,0.000,0.000,0.000,0.011,0.010,0.000,0.031,0.001,0.000,0.003,0.022,0.000,0.000,0.000
812,524.061,0.5455,0.7571,0.181,0.3477,0.5569,2.542,4.080,2.588,2.511,2.153,9.407,4.340,4.378,9.872,10.446,6.711,2.047,5.812,10.932,17.892,37.583,33.500,15.104,3.431,91.071,109.496,77.765,42.280,18.121,0.000,0.000,0.000,0.000,0.006,0.002,0.026,0.000,0.028,0.000,0.027,0.000,0.001,0.000,0.029,0.031,0.014,0.005,0.000,0.000,0.000,0.000,0.011,0.000
826,525.400,0.5460,0.7565,0.189,0.3379,0.6579,1.939,4.666,2.938,2.196,1.780,9.741,3.614,3.659,10.021,11.504,7.220,1.919,6.641,10.738,17.597,38.882,33.706,14.882,4.389,90.173,108.705,77.221,42.524,18.743,0.000,0.000,0.000,0.000,0.000,0.025,0.006,0.000,0.000,0.011,0.021,0.007,0.003,0.012,0.000,0.002,0.000,0.017,0.000,0.028,0.000,0.055,0.000,0.000
841,521.670,0.5453,0.7566,186.674,0.3931,0.2486,1.669,4.441,2.958,3.208,1.701,10.201,3.601,4.047,9.909,11.427,6.154,1.809,6.610,10.455,16.952,38.379,33.670,14.147,3.737,90.654,108.235,77.610,41.326,18.766,66.671,32.644,9.328,33.719,6.790,4.800,3.634,4.088,5.654,4.992,3.607,0.290,2.749,4.390,0.220,0.987,0.010,0.349,0.838,0.490,0.000,0.000,0.422,0.000
854,518.897,0.5454,0.7575,186.040,0.3947,0.2471,2.594,4.869,2.465,2.809,1.869,9.398,3.649,3.435,9.251,10.943,6.784,2.102,5.882,10.197,16.878,37.456,33.091,14.445,4.412,90.173,108.741,77.264,41.887,18.304,66.064,32.636,9.649,33.981,6.476,4.801,3.456,3.828,5.054,5.202,3.066,1.011,3.297,5.536,0.525,0.014,0.138,0.000,1.252,0.002,0.051,0.000,0.000,0.000
