t_ms,grf_L,copx_L,copy_L,grf_R,copx_R,copy_R,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23
65,197.548,0.6199,0.4204,348.306,0.3577,0.7575,14.202,23.074,5.500,14.164,6.992,12.998,4.491,6.899,20.084,14.097,8.662,3.398,12.016,21.176,1.990,3.182,2.975,2.256,2.734,2.180,5.694,5.054,3.096,0.633,2.051,2.487,1.538,1.462,1.274,6.331,2.375,2.163,7.030,6.648,3.758,2.207,3.954,8.288,11.244,24.820,22.672,10.085,3.043,59.390,75.045,53.524,26.856,10.064
3872,0.179,0.7195,0.4793,349.130,0.3560,0.7568,0.000,0.026,0.000,0.000,0.009,0.000,0.000,0.000,0.059,0.003,0.000,0.026,0.000,0.008,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.024,0.005,2.104,1.586,1.524,1.751,1.854,6.791,2.250,2.759,6.492,7.490,4.277,1.888,4.565,7.405,10.874,24.925,22.412,10.384,2.932,59.010,75.598,54.386,25.766,10.109
3891,124.883,0.5921,0.2544,347.947,0.3573,0.7575,26.110,39.791,4.967,22.371,5.136,3.055,2.027,2.379,3.221,3.720,2.541,0.457,2.745,3.633,0.008,0.917,0.671,0.162,0.000,0.229,0.000,0.255,0.000,0.488,2.056,1.352,1.618,1.270,2.489,6.802,2.339,2.610,6.812,7.127,4.436,1.362,4.422,6.830,10.640,24.600,22.363,11.126,3.272,58.989,74.930,53.712,26.092,10.699
85,199.232,0.6190,0.4205,0.142,0.4345,0.7115,14.248,23.257,6.077,13.704,6.992,13.376,5.076,7.437,19.607,13.730,8.461,3.560,11.949,21.339,1.792,3.665,3.469,1.803,3.111,2.567,4.808,5.932,2.878,0.394,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.008,0.022,0.009,0.000,0.000,0.000,0.021,0.000,0.013,0.023,0.000,0.000,0.015,0.028
3912,128.418,0.5941,0.2600,345.237,0.3564,0.7564,25.626,40.226,5.412,22.198,5.738,3.447,2.817,2.827,3.742,3.797,2.334,0.148,2.822,3.677,0.202,0.394,0.863,0.044,0.419,0.000,0.693,0.385,0.496,0.111,2.424,1.871,1.920,1.752,2.686,6.234,2.374,1.409,6.524,6.886,4.436,1.220,4.845,6.567,11.708,24.417,22.324,10.011,3.040,57.711,74.583,53.560,26.862,9.874
105,194.252,0.6199,0.4170,0.079,0.4781,0.4622,14.750,22.772,5.879,13.363,7.013,12.661,4.962,6.474,19.020,14.215,8.450,3.066,11.364,22.151,2.147,2.632,3.303,2.402,2.539,1.775,4.241,5.939,2.433,0.702,0.000,0.000,0.000,0.000,0.028,0.000,0.004,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.012,0.000,0.000,0.000,0.004,0.000,0.001,0.006
128,196.816,0.6186,0.4195,0.158,0.2919,0.5688,14.726,23.333,5.466,13.227,6.673,13.253,5.471,7.167,19.135,13.891,8.156,3.369,12.025,21.338,2.274,3.684,2.438,2.266,2.645,2.075,4.998,5.236,3.055,0.917,0.000,0.002,0.007,0.005,0.000,0.045,0.008,0.000,0.004,0.000,0.001,0.000,0.000,0.010,0.008,0.024,0.000,0.000,0.000,0.020,0.000,0.013,0.009,0.000
3934,129.032,0.5966,0.2576,346.488,0.3553,0.7560,25.443,40.660,5.817,23.144,5.695,3.575,3.081,2.091,3.457,3.144,1.887,0.639,2.572,4.256,0.084,0.713,0.639,0.281,0.818,0.054,0.164,0.308,0.000,0.511,2.756,2.032,1.441,1.185,2.143,6.379,2.855,2.064,6.244,8.012,4.463,1.626,4.762,6.963,10.910,24.441,22.021,10.107,2.484,58.883,74.668,53.364,26.594,10.090
3946,196.366,0.6181,0.4207,348.320,0.3555,0.7570,14.142,22.834,5.350,13.431,6.844,13.304,5.493,6.916,19.204,14.297,8.727,3.154,12.126,21.347,1.568,3.643,3.015,1.770,2.835,2.326,5.322,5.924,2.204,0.591,2.346,1.397,1.962,1.471,2.149,6.372,2.320,2.579,6.094,7.376,4.585,1.067,4.695,7.195,11.726,24.768,22.666,10.581,3.053,58.586,75.133,53.949,26.783,9.468
139,429.149,0.5904,0.7046,0.156,0.3500,0.6334,6.614,11.225,2.904,6.712,3.773,9.750,3.255,4.171,13.250,11.212,7.084,2.566,8.343,14.592,8.091,25.366,32.138,19.978,5.958,34.755,58.723,63.668,48.025,26.998,0.000,0.000,0.012,0.006,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.032,0.000,0.000,0.023,0.001,0.004,0.029,0.000,0.000,0.031,0.000,0.010,0.000
3969,200.626,0.6181,0.4270,0.174,0.3906,0.4536,14.214,22.704,5.069,13.963,6.687,13.083,5.174,7.596,19.924,14.190,9.007,2.203,12.450,21.481,2.178,4.003,3.650,2.092,2.537,3.239,5.641,5.617,2.575,1.347,0.000,0.036,0.023,0.015,0.000,0.023,0.000,0.018,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.009,0.017,0.000,0.006,0.022,0.000
163,429.091,0.5905,0.7048,0.183,0.4386,0.5365,6.169,10.554,3.934,6.364,4.054,10.127,3.673,4.079,13.170,11.074,7.358,2.104,8.202,13.873,7.949,24.914,31.897,20.360,7.691,34.540,58.736,63.191,49.048,26.029,0.000,0.013,0.016,0.000,0.009,0.025,0.000,0.019,0.020,0.000,0.008,0.000,0.004,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.014,0.019,0.033
3983,199.940,0.6152,0.4217,0.228,0.4084,0.6771,15.033,23.003,5.644,14.356,6.089,13.782,5.373,7.477,19.211,14.640,7.962,2.773,11.796,21.922,2.300,3.789,2.830,1.892,2.626,2.825,5.750,5.405,2.276,1.187,0.000,0.000,0.009,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.003,0.009,0.017,0.028,0.024,0.014,0.022,0.029,0.002,0.007,0.003,0.034
181,427.943,0.5904,0.7068,0.303,0.3761,0.5439,6.253,10.471,2.953,5.930,3.742,9.806,3.630,5.135,12.199,10.639,7.382,2.115,8.590,14.653,8.447,24.968,32.168,19.155,7.133,35.939,57.808,63.466,48.103,27.257,0.007,0.000,0.003,0.000,0.006,0.031,0.016,0.026,0.036,0.000,0.022,0.000,0.000,0.011,0.050,0.015,0.024,0.002,0.030,0.003,0.011,0.000,0.010,0.000
199,428.661,0.5903,0.7072,0.238,0.4285,0.5825,6.487,10.358,3.161,6.199,3.672,10.084,3.327,3.592,13.362,10.953,6.788,3.315,7.909,13.936,8.143,24.797,32.219,19.558,7.001,35.076,59.193,63.484,48.630,27.416,0.019,0.000,0.005,0.003,0.007,0.011,0.014,0.000,0.000,0.000,0.002,0.000,0.000,0.015,0.027,0.000,0.032,0.064,0.022,0.000,0.000,0.000,0.011,0.005
4005,194.114,0.6185,0.4192,0.207,0.3645,0.5954,13.493,23.135,6.075,13.409,6.619,12.744,5.384,6.942,19.565,14.273,8.959,2.528,11.359,21.372,1.905,2.749,2.540,1.997,2.467,2.276,5.833,5.153,2.254,1.082,0.013,0.013,0.007,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.027,0.005,0.000,0.003,0.005,0.024,0.000,0.000,0.029,0.010,0.018,0.028,0.000,0.005
216,430.995,0.5905,0.7045,0.234,0.4269,0.5158,6.686,10.505,3.638,6.658,3.353,9.694,3.639,5.253,12.854,11.105,7.179,1.976,8.820,14.647,7.807,25.748,32.358,19.293,7.074,34.952,58.828,63.358,48.454,27.115,0.033,0.002,0.000,0.000,0.000,0.000,0.009,0.010,0.030,0.000,0.020,0.000,0.009,0.009,0.017,0.010,0.014,0.069,0.000,0.003,0.000,0.000,0.000,0.000
4024,200.961,0.6189,0.4186,0.179,0.3804,0.5650,15.325,23.797,5.937,12.879,6.969,12.656,5.105,8.343,19.807,14.262,9.087,3.201,12.757,21.610,1.712,3.732,3.115,1.020,2.706,2.261,5.749,5.334,2.831,0.766,0.005,0.000,0.000,0.013,0.015,0.017,0.000,0.000,0.000,0.003,0.016,0.000,0.017,0.000,0.000,0.038,0.000,0.030,0.000,0.005,0.005,0.000,0.015,0.000
231,428.491,0.5900,0.7078,0.223,0.3627,0.5083,5.491,9.991,3.315,5.818,4.307,10.238,3.536,4.370,12.570,10.900,7.450,2.769,8.148,14.390,8.033,25.640,31.912,19.273,6.959,35.483,58.974,62.988,48.857,27.077,0.024,0.001,0.057,0.000,0.019,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.004,0.034,0.016,0.026,0.000,0.012,0.000,0.000,0.000,0.027
4038,428.247,0.5919,0.7072,0.207,0.4063,0.4970,6.460,10.072,3.199,6.011,4.315,9.532,3.416,4.761,12.742,10.355,6.815,2.599,8.066,14.650,7.937,24.613,32.153,20.087,6.744,35.321,58.864,62.822,48.478,28.235,0.000,0.041,0.006,0.033,0.011,0.000,0.000,0.000,0.000,0.008,0.009,0.000,0.000,0.000,0.024,0.000,0.023,0.000,0.014,0.003,0.013,0.002,0.021,0.000
4050,428.306,0.5899,0.7042,0.276,0.4165,0.5040,6.931,11.100,3.715,5.597,4.338,10.269,3.845,4.489,12.710,10.970,6.958,2.469,7.424,14.276,8.086,24.639,32.171,19.595,6.464,34.576,58.761,63.049,48.661,27.212,0.000,0.000,0.000,0.000,0.000,0.035,0.015,0.036,0.056,0.011,0.013,0.017,0.032,0.013,0.000,0.000,0.000,0.000,0.000,0.003,0.029,0.000,0.017,0.000
243,348.841,0.5448,0.7557,0.262,0.4232,0.6057,1.146,3.644,2.561,1.584,1.904,6.571,2.673,2.536,6.297,7.550,4.058,1.117,4.219,7.009,12.228,24.807,21.992,8.906,2.131,60.443,72.116,52.424,28.312,12.614,0.014,0.006,0.030,0.000,0.000,0.000,0.000,0.000,0.016,0.007,0.004,0.000,0.040,0.000,0.000,0.000,0.032,0.000,0.018,0.000,0.039,0.030,0.000,0.026
266,347.735,0.5442,0.7553,0.111,0.3907,0.6220,1.432,2.887,2.332,1.571,2.027,6.898,2.131,2.221,6.890,7.852,4.792,1.751,3.531,6.639,12.111,24.964,22.147,8.863,2.849,59.789,72.280,51.846,28.235,11.697,0.005,0.012,0.000,0.000,0.000,0.000,0.001,0.008,0.000,0.018,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.001,0.008,0.000,0.031,0.012,0.000,0.009
4073,431.560,0.5908,0.7053,0.216,0.4466,0.5846,6.389,10.761,2.986,6.549,4.126,9.974,4.005,4.941,13.069,10.457,7.174,1.712,8.151,15.295,8.772,25.642,31.056,18.911,7.033,35.748,58.987,63.762,48.566,27.493,0.033,0.000,0.022,0.000,0.013,0.000,0.000,0.002,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.014,0.040,0.000,0.022,0.031,0.009,0.017
4084,433.105,0.5896,0.7050,0.242,0.4164,0.5907,7.396,9.904,4.205,6.058,3.669,9.815,3.757,4.501,13.043,11.190,6.986,2.423,8.200,15.042,8.685,25.154,32.230,19.097,7.084,34.938,59.852,63.948,48.205,27.724,0.000,0.019,0.012,0.000,0.000,0.000,0.000,0.035,0.000,0.000,0.012,0.019,0.000,0.015,0.000,0.009,0.018,0.030,0.009,0.009,0.045,0.011,0.000,0.000
277,348.086,0.5460,0.7569,0.312,0.3915,0.5941,0.877,2.877,2.008,2.119,1.750,6.521,1.994,2.495,6.239,7.723,4.733,1.437,3.921,7.154,11.485,25.146,22.393,10.236,2.879,59.882,72.407,51.578,28.188,12.043,0.000,0.017,0.000,0.006,0.005,0.000,0.005,0.018,0.011,0.016,0.023,0.037,0.043,0.000,0.000,0.000,0.000,0.034,0.000,0.047,0.035,0.011,0.003,0.000
4108,429.654,0.5910,0.7063,0.169,0.3602,0.6722,6.394,10.169,3.584,5.980,4.192,9.890,3.641,4.825,12.773,10.708,6.827,2.153,8.063,14.968,7.852,25.410,32.205,19.410,6.988,34.977,59.501,63.045,48.690,27.409,0.000,0.000,0.000,0.005,0.000,0.000,0.001,0.020,0.004,0.011,0.012,0.000,0.000,0.000,0.021,0.000,0.030,0.000,0.000,0.000,0.028,0.000,0.038,0.000
301,346.891,0.5438,0.7589,127.149,0.3952,0.2538,1.368,2.857,1.909,1.869,1.747,6.621,2.166,2.044,5.022,7.437,5.103,0.714,4.120,7.239,11.651,25.661,22.384,9.192,2.352,60.235,72.576,51.584,28.554,12.484,44.171,21.931,5.992,22.912,5.282,3.058,2.310,3.280,3.054,3.734,2.309,0.586,1.960,3.428,0.427,0.410,0.833,0.400,0.766,0.140,0.000,0.000,0.165,0.000
313,349.201,0.5459,0.7583,128.116,0.3935,0.2625,1.215,2.908,1.693,1.607,1.445,6.258,1.957,2.327,5.571,7.433,4.935,1.893,4.713,7.297,11.850,25.064,22.460,10.203,3.153,60.838,72.332,51.479,28.441,12.132,43.731,21.358,5.909,23.680,4.103,3.183,1.993,2.548,3.675,4.356,2.007,0.898,1.801,4.282,0.738,0.963,0.627,0.552,0.717,0.269,0.000,0.337,0.110,0.278
4129,430.338,0.5900,0.7043,0.246,0.4728,0.5502,5.850,10.241,3.375,6.431,4.944,10.178,4.298,4.274,12.908,11.153,6.751,3.049,9.089,13.926,8.281,25.267,32.092,19.553,6.517,35.357,58.883,62.883,48.354,26.684,0.012,0.037,0.014,0.000,0.000,0.016,0.000,0.000,0.013,0.016,0.000,0.000,0.000,0.013,0.000,0.000,0.014,0.000,0.037,0.010,0.000,0.001,0.000,0.062
4142,344.641,0.5439,0.7601,0.252,0.4528,0.5958,1.359,1.847,1.774,1.540,0.981,6.387,2.145,2.938,6.579,7.141,4.793,1.828,3.488,6.858,11.300,25.993,21.902,9.050,2.695,60.912,71.916,51.164,28.555,11.497,0.000,0.003,0.006,0.000,0.008,0.000,0.000,0.009,0.044,0.014,0.000,0.000,0.022,0.004,0.000,0.019,0.030,0.004,0.041,0.028,0.017,0.000,0.000,0.004
336,350.563,0.5468,0.7553,199.391,0.4124,0.4185,1.669,3.583,2.041,1.961,1.317,6.415,2.077,2.774,6.519,7.348,4.820,1.752,4.257,6.758,10.866,25.608,21.969,9.894,3.032,60.236,72.648,51.781,28.386,12.852,24.274,13.340,5.916,13.572,7.165,13.244,5.008,7.363,19.610,14.647,8.536,3.040,12.851,21.855,1.761,3.197,3.391,1.728,3.266,2.825,5.134,4.790,2.380,0.498
356,0.182,0.5935,0.6169,195.254,0.4119,0.4189,0.017,0.000,0.008,0.027,0.000,0.003,0.004,0.000,0.006,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.003,0.019,0.000,0.000,0.017,0.054,0.021,0.000,24.073,12.976,6.248,13.638,6.619,12.204,5.594,6.531,19.447,13.919,8.127,3.351,12.301,21.728,1.706,3.120,3.153,2.003,2.304,2.814,5.203,5.579,2.442,0.174
4162,350.161,0.5466,0.7578,0.207,0.4356,0.5812,1.451,2.646,1.805,1.541,2.142,6.504,2.213,1.833,6.421,7.851,4.350,1.310,3.776,7.646,11.379,25.422,22.411,10.266,2.827,60.487,72.795,51.993,28.081,13.013,0.005,0.000,0.016,0.000,0.007,0.004,0.008,0.000,0.021,0.002,0.000,0.024,0.016,0.000,0.000,0.043,0.000,0.006,0.008,0.000,0.000,0.000,0.000,0.048
4177,346.705,0.5458,0.7566,126.265,0.3919,0.2517,1.605,2.809,2.029,2.158,1.652,6.027,2.277,2.249,7.004,6.472,4.847,1.308,4.266,7.109,10.789,25.881,22.047,10.427,1.288,60.280,72.761,51.559,28.151,11.709,44.498,22.053,6.191,22.521,4.223,3.341,2.832,2.120,3.294,3.543,2.275,1.769,2.178,3.195,0.511,0.246,0.679,0.000,0.704,0.000,0.000,0.000,0.000,0.093
371,0.132,0.6455,0.5142,201.882,0.4084,0.4186,0.000,0.000,0.004,0.005,0.032,0.007,0.004,0.003,0.014,0.013,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.016,0.000,0.019,0.000,24.684,13.675,5.368,13.843,6.995,14.017,5.723,7.368,19.440,14.991,9.059,3.494,12.474,21.641,2.007,2.969,3.434,2.189,2.366,2.745,5.511,5.552,2.336,0.000
390,0.285,0.5934,0.5117,200.924,0.4121,0.4218,0.045,0.016,0.000,0.002,0.020,0.020,0.000,0.020,0.022,0.005,0.004,0.014,0.000,0.000,0.000,0.019,0.013,0.000,0.000,0.000,0.031,0.013,0.023,0.018,24.104,13.075,5.268,13.801,7.445,13.100,5.597,7.200,19.576,14.696,8.473,3.350,12.933,21.576,2.267,3.422,3.276,2.786,3.040,2.160,5.900,5.220,2.467,0.191
4196,352.275,0.5462,0.7547,128.673,0.3939,0.2588,2.135,3.263,2.165,2.440,1.276,7.021,1.352,3.101,7.232,7.057,4.226,1.447,3.777,7.212,11.836,25.101,22.185,9.361,2.497,61.326,71.957,52.553,29.012,12.741,44.016,21.888,6.522,22.341,4.729,3.501,2.699,2.867,3.176,3.886,2.281,1.291,2.694,3.620,0.689,0.000,0.387,0.442,0.633,0.183,0.000,0.000,0.053,0.775
405,0.150,0.5356,0.4013,199.757,0.4115,0.4211,0.000,0.019,0.024,0.000,0.000,0.022,0.040,0.000,0.003,0.004,0.000,0.000,0.009,0.003,0.000,0.007,0.018,0.001,0.000,0.000,0.000,0.000,0.000,0.000,25.030,12.887,5.803,13.089,7.363,13.175,4.802,7.241,19.526,14.610,8.380,3.072,12.632,21.782,2.112,2.756,3.813,2.451,2.588,3.029,5.042,5.473,2.508,0.592
4211,350.081,0.5447,0.7549,125.014,0.3935,0.2530,2.000,2.847,2.366,1.624,2.099,6.293,2.183,2.538,6.279,7.357,5.361,1.545,4.020,7.504,12.505,24.737,21.577,9.595,1.984,60.560,72.389,51.992,28.268,12.457,44.160,22.197,5.803,22.100,4.533,3.428,2.072,3.240,2.899,3.595,1.540,0.398,2.586,3.664,1.150,0.000,0.133,0.275,0.061,0.354,0.000,0.069,0.756,0.000
416,0.173,0.6248,0.5806,432.881,0.3947,0.7029,0.000,0.000,0.000,0.014,0.008,0.000,0.000,0.032,0.000,0.003,0.000,0.000,0.010,0.028,0.000,0.025,0.000,0.005,0.000,0.006,0.042,0.001,0.000,0.000,11.116,7.167,3.803,6.996,4.638,9.470,4.372,3.846,12.741,10.882,6.928,2.676,8.591,13.704,7.684,25.265,32.261,20.320,6.813,39.077,61.271,64.000,45.581,23.677
4229,347.858,0.5454,0.7561,199.435,0.4084,0.4229,1.784,2.904,2.248,2.750,0.901,5.710,1.980,2.942,6.284,6.660,5.242,1.567,4.208,6.987,11.725,25.334,22.280,9.767,2.152,60.105,72.444,51.194,28.458,12.232,25.104,13.097,5.991,13.566,7.116,12.378,4.864,5.859,19.861,14.666,8.280,3.709,11.602,21.519,2.743,3.588,3.687,2.092,2.441,3.842,5.878,4.406,2.604,0.543
4247,0.180,0.6554,0.4887,196.761,0.4107,0.4196,0.000,0.031,0.019,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.022,0.000,0.003,0.047,0.009,0.000,0.000,0.000,0.000,24.068,13.014,5.400,13.546,7.269,12.881,5.716,6.751,18.208,14.613,8.475,3.535,12.755,21.870,1.844,2.993,3.324,2.781,2.034,2.786,5.242,4.840,1.899,0.918
441,0.213,0.5524,0.6075,432.326,0.3956,0.7059,0.000,0.000,0.011,0.000,0.000,0.001,0.000,0.000,0.003,0.000,0.025,0.029,0.035,0.000,0.034,0.021,0.000,0.000,0.021,0.028,0.000,0.000,0.000,0.005,10.456,5.715,3.293,6.355,5.257,9.506,4.183,4.712,12.154,11.115,7.081,2.088,9.354,14.546,7.298,24.088,32.192,20.556,7.313,39.378,63.002,63.551,45.396,23.734
455,0.202,0.5552,0.5180,433.255,0.3955,0.7034,0.030,0.000,0.023,0.000,0.000,0.000,0.000,0.026,0.000,0.046,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.004,0.012,0.000,0.000,0.000,0.000,0.045,11.260,6.106,3.445,6.580,4.814,10.485,3.773,4.224,12.840,10.407,6.334,2.704,9.016,14.826,7.942,25.214,32.186,20.616,7.579,38.775,62.232,63.718,44.488,23.690
4261,0.242,0.5835,0.6006,197.391,0.4129,0.4202,0.000,0.010,0.000,0.020,0.003,0.013,0.022,0.000,0.000,0.018,0.016,0.004,0.000,0.006,0.000,0.043,0.000,0.014,0.000,0.000,0.010,0.000,0.021,0.043,24.358,12.525,5.337,13.692,7.441,13.822,5.124,7.080,19.842,13.799,8.615,2.808,12.253,21.726,1.853,2.633,2.126,2.190,2.950,3.052,5.612,5.074,2.554,0.926
4279,0.179,0.6105,0.5968,198.874,0.4117,0.4216,0.007,0.000,0.008,0.009,0.000,0.000,0.000,0.000,0.012,0.013,0.011,0.003,0.002,0.023,0.013,0.017,0.011,0.000,0.003,0.000,0.000,0.000,0.034,0.013,24.248,12.873,5.508,13.816,6.994,12.976,5.596,7.527,19.165,14.580,7.981,2.943,13.438,21.601,1.263,2.653,3.715,2.444,2.286,3.263,6.072,5.381,2.316,0.237
473,0.214,0.5408,0.5308,429.209,0.3955,0.7067,0.000,0.014,0.038,0.011,0.011,0.000,0.033,0.000,0.000,0.009,0.000,0.005,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.021,0.028,0.021,0.000,10.584,5.227,3.105,6.073,4.458,9.914,3.775,4.183,13.139,10.384,6.706,3.057,8.617,14.707,7.695,24.283,32.732,20.618,7.230,39.009,62.553,62.792,44.895,23.475
488,0.278,0.6018,0.5239,431.548,0.3949,0.7046,0.026,0.021,0.000,0.016,0.017,0.021,0.009,0.000,0.013,0.000,0.016,0.000,0.006,0.000,0.017,0.017,0.017,0.016,0.005,0.007,0.000,0.007,0.000,0.047,10.721,6.093,3.756,7.149,3.607,9.979,3.776,3.374,12.849,11.246,7.183,2.704,9.367,14.323,7.692,24.279,32.106,21.254,7.660,38.320,62.365,63.354,45.042,23.347
4296,0.207,0.6658,0.5955,198.976,0.4092,0.4194,0.017,0.000,0.000,0.013,0.000,0.000,0.009,0.000,0.008,0.015,0.003,0.000,0.000,0.041,0.003,0.000,0.000,0.006,0.025,0.004,0.000,0.030,0.026,0.007,24.940,12.652,6.401,13.435,6.927,12.948,5.422,7.228,19.300,14.160,8.498,3.397,12.471,21.307,2.721,3.109,3.021,2.333,2.942,2.807,5.328,5.083,1.960,0.588
504,0.189,0.5542,0.6261,431.182,0.3949,0.7068,0.009,0.000,0.000,0.027,0.000,0.000,0.007,0.003,0.000,0.000,0.000,0.015,0.023,0.000,0.000,0.019,0.000,0.000,0.000,0.028,0.020,0.037,0.000,0.000,10.431,6.287,3.724,5.602,4.349,9.246,3.943,4.276,12.786,11.144,6.360,2.707,8.842,14.488,8.194,24.466,32.350,20.465,6.863,38.806,62.985,63.755,45.421,23.694
